Alexa, Marc
Harrison, Michael A
Heidelberger, Philip
Irwin, Mary Jane
Jaffe, Jeffrey
Jain, Raj
Jones, Anita K
Katz, Randy H.
Klawe, Maria
Landweber, Lawrence H
Lesk, Michael E
Levy, Henry M
Liskov, Barbara
Muntz, Richard R
Nance, Richard E
Nishizeki, Takao
Preas, Bryan
Rao, TRN
Reingold, Edward M
Rice, John
Rosenberg, Arnold
Sahni, Sartaj K
Samet, Hanan
Savage, John E
Sethi, Ravi
Shaw, Mary M
Silberschatz, Abraham
Stankovic, John A
Stockmeyer, Larry
Tanenbaum, Andrew S
Vernon, Mary K
Vishkin, Uzi
Vitter, Jeffrey S.
Wasserman, Anthony I
Wegman, Mark
Weingarten, Fred W
Witten, Ian
Yovits, Marshall C
Abrahams, Paul W
Ashenhurst, R L
Barr, Alan H
Bernstein, Lawrence
Booch, Grady
Brandin, David H
Brent, Richard P
Carpenter, Loren C
Catmull, Edwin
Constable, Robert
Denning, Dorothy E
DeWitt, David
Druffel, Larry
Engeler, Erwin
Feldman, Stuart
Fuchs, Henry
Galil, Zvi
Garey, Michael R
Ginsberg, Myron
Goodenough, John B
Greenberg, Donald
Grosch, Herbert R J
Herzog, Bertram
Highland, Harold J
Hoffman, Lance J
Ibarra, Oscar
Johnson, David S
Jones, Cliff B
Kennedy, Kenneth W
Kim, Won
Kosaraju, Sambasiva
Ladner, Richard E.
Lakshmivarahan, S
Lazowska, Edward
Leveson, Nancy
Misra, Jayadev
Nievergelt, J
Oettinger, Anthony
Preparata, Franco P
Rada, Roy F
Rosenkrantz, Daniel J
Salton, Gerard
Schneider, Fred B
Snyder, Larry
Suzuki, Norihisa
Ullman, Jeffrey D
Wallace, Chris S
Wegner, Peter
White, John R.
Whitted, J Turner
Wiederhold, Gio
Wong, Chak-Kuen
Yao, Andrew C
Young, Paul
Adams, James M
Allen, Frances
Alt, Franz L
Atchison, William F.
Austing, Richard H
Batcher, Kenneth E
Bell, C Gordon
Blasgen, Michael W
Bobrow, Daniel
Boggs, David R.
Borman, Lorraine
Bradshaw, Charles L
Bricklin, Daniel S
Brooks, Frederick
Brotz, Douglas K
Burton, Richard R.
Canning, Richard G
Carlson, Walter
Cerf, Vinton
Chamberlin, Donald
Codd, Edgar F
Coffman, Ed
Corbato, Fernando J
Cragon, Harvey G
D'Auria, Thomas A
DeFanti, Thomas
Denning, Peter J
Dennis, Jack
Deutsch, L Peter
Dijkstra, Edsger W
Dunwell, Stephen
Eckert, J Presper
Elias, Peter
Engel, Gerald L
Esbin, John H
Evans, Bob O
Feng, Tse-Yun
Finerman, Aaron
Floyd, Robert W.
Flynn, Michael J
Frankston, Robert M
Friedman, Frank L
Galler, Bernard A
Gear, Charles W
Goldberg, Adele
Gotlieb, Calvin C.
Graham, Susan L
Gray, Jim
Green, Cordell
Gries, David Joseph
Hammer, Carl
Hamming, Richard W
Harel, David
Harris, Fred H
Hartmanis, Juris
Hillis, William Daniel
Hopcroft, John E
Hull, Tom
Hume, J N
Huskey, Harry D
Kahan, William
Kaplan, Ronald M
Karp, Richard
Knuth, Donald E
Kuck, David J
Kurtz, Thomas E
Kurzweil, Ray
Lampson, Butler W
Lavenberg, Stephen S
Lederberg, Joshua
Lee, John A
Lehman, Meir
Lindsay, Bruce
Little, Joyce Currie
Liu, C.L.
Lynn, M Stuart
Maisel, Herbert
Manna, Zohar
McCarthy, John
McCluskey, Edward
McCracken, Daniel D
McJones, Paul R
Milner, A J
Minker, Jack
Needham, Roger M
Neumann, Peter G
Newborn, Monroe
Ousterhout, John
Owicki, Susan S
Parnas, David Lorge
Patterson, David
Poucher, William B
Ralston, Anthony
Rivest, Ronald L
Rosenfeld, Azriel
Rulifson, Jeff
Sammet, Jean E
Scott, Dana S
Siewiorek, Daniel
Simon, Herbert A
Simons, Barbara B
Sloan, Martha
Slutz, Donald R
Smith, Burton
Stearns, Richard E
Steel, Thomas B
Steele, Guy L
Stone, Harold
Stonebraker, Michael
Strecker, William
Stroustrup, Bjarne
Suppes, Patrick
Sussman, Gerald
Sutherland, Ivan
Taft, Edward A
Tarjan, Robert E
Taylor, Robert W
Thacker, Charles P
Traiger, Irv
Traub, Joseph
Tucker, Allen
van Dam, Andries
Ware, Willis H
Wecker, Stuart
Wegbreit, Ben
Weiss, Eric A
Wheeler, David John
Wilkes, Maurice V.
Winograd, Shmuel
Wirth, Niklaus E
Wolfson, Seymour J
Wulf, William A
Zadeh, L A
