Alexa, Marc
Meseguer, Jose
Morris, Meredith Ringel
Nagappan, Nachiappan
Nagpal, Radhika
Naor, Moni
Narayanaswami, Chandra
Noh, Sam H.
Panangaden, Prakash
Panchanathan, Sethuraman
Parashar, Manish
Parhi, Keshab K.
Park, Haesun
Plotkin, Gordon
Rabin, Michael O.
Ren, Kui
Resnick, Paul
Rosson, Marybeth
Salzberg, Steven
Seshia, Sanjit Arunkumar
Shamir, Adi
Shen, Heng Tao
Sheth, Amit
Smith, Adam
Sorkine-Hornung, Olga
Stevens, Rick
Stone, Peter
Tao, Yufei
Tassiulas, Leandros
Thompson, Kenneth Lane
Tomkins, Andrew
Troyanskaya, Olga
Turk, Matthew A
Van Der Aalst, Wil
Walsh, Toby
Wang, Wei
Williams, Laurie Ann
Wu, Cathy H
Yan, Shuicheng
Yi, Wang
Zhou, Kun
Zyda, Michael J
Aaronson, Scott J
Abdelzaher, Tarek
Amarasinghe, Saman
Bala, Kavita
Balazinska, Magdalena
Beame, Paul
Berger, Emery David
Boisvert, Ronald F
Cachin, Christian
Calder, Bradley G
Calvanese, Diego
Capkun, Srdjan
Cardie, Claire
Chan, Timothy
Chandy, Kanianthra Mani
Chen, Xilin
Churchill, Elizabeth Frances
Cohen, Philip R
Conitzer, Vincent
Contractor, Noshir
Dwyer, Matthew B
Ferrari, Elena
Freedman, Michael J.
Frincke, Deborah
Getoor, Lise
Gini, Maria L
Kambhampati, Subbarao
Kolda, Tamara G
Li, Xiangyang
Lu, Songwu
Mackay, Wendy Elizabeth
Marculescu, Diana
McIlraith, Sheila
Mihalcea, Rada
Murphy, Robin R
Najork, Marc
Nieh, Jason
Pfister, Hanspeter
Pinkston, Timothy
Pop, Mihai
Reuter, Andreas
Rosenschein, Jeffrey S
Seshan, Srinivasan
Shenoy, Prashant J
Shor, Peter W
Singh, Mona
Sitaraman, Ramesh Kumar
Song, Dawn
Stolfo, Salvatore J
Tao, Dacheng
Tennenholtz, Moshe
Vigna, Giovanni
Vishnoi, Nisheeth
Whitley, Darrell
Xie, Yuan
Youssef, Moustafa A
Zaniolo, Carlo A
Zhou, Lidong
Agha, Gul
Asanovic, Krste
Asokan, N
Barham, Paul
Bartlett, Peter L
Basin, David
Belding, Elizabeth
Bodik, Rastislav
Borner, Katy
Bruckman, Amy S
